iter	Passed	Remaining
0	61	61052
1	61	30714
2	61	20599
3	62	15507
4	62	12451
5	62	10425
6	63	8971
7	63	7880
8	63	7044
9	64	6362
10	64	5812
11	64	5350
12	65	4955
13	65	4621
14	65	4327
15	66	4080
16	66	3867
17	67	3674
18	68	3521
19	68	3359
20	68	3216
21	69	3086
22	69	2970
23	70	2872
24	71	2784
25	71	2688
26	72	2597
27	72	2515
28	72	2438
29	73	2390
30	74	2325
31	74	2263
32	75	2206
33	75	2151
34	76	2096
35	76	2044
36	76	1996
37	77	1951
38	77	1913
39	78	1875
40	78	1836
41	78	1799
42	79	1765
43	79	1731
44	80	1698
45	80	1666
46	80	1637
47	81	1609
48	81	1584
49	82	1565
50	82	1542
51	83	1522
52	83	1500
53	84	1478
54	84	1458
55	85	1439
56	85	1420
57	86	1405
58	87	1388
59	87	1371
60	88	1354
61	88	1337
62	88	1322
63	89	1305
64	89	1288
65	89	1272
66	90	1257
67	90	1243
68	91	1228
69	91	1213
70	91	1198
71	91	1184
72	92	1171
73	92	1157
74	93	1147
75	93	1136
76	93	1126
77	94	1115
78	94	1103
79	95	1093
80	95	1082
81	95	1071
82	95	1059
83	96	1049
84	96	1040
85	97	1031
86	97	1022
87	97	1013
88	98	1003
89	98	994
90	98	985
91	99	977
92	99	969
93	99	961
94	100	953
95	100	946
96	100	939
97	101	933
98	101	926
99	102	918
100	102	912
101	102	906
102	103	900
103	103	893
104	103	886
105	104	881
106	104	875
107	105	868
108	105	862
109	105	857
110	106	851
111	106	845
112	107	840
113	107	834
114	107	828
115	108	823
116	108	817
117	108	812
118	109	807
119	109	802
120	109	797
121	109	791
122	110	786
123	110	781
124	111	777
125	111	773
126	111	767
127	112	763
128	112	759
129	112	755
130	113	752
131	113	748
132	114	744
133	114	739
134	114	735
135	115	732
136	115	728
137	115	724
138	116	720
139	116	716
140	116	712
141	117	707
142	117	704
143	117	700
144	118	697
145	118	694
146	119	691
147	119	687
148	119	684
149	120	680
150	120	677
151	120	674
152	121	670
153	121	667
154	121	664
155	122	661
156	122	658
157	122	655
158	123	652
159	123	648
160	123	644
161	124	641
162	124	638
163	124	636
164	125	633
165	125	631
166	126	628
167	126	625
168	126	623
169	127	620
170	127	617
171	127	615
172	128	612
173	128	610
174	128	607
175	129	604
176	129	602
177	129	599
178	130	597
179	130	595
180	130	592
181	131	589
182	131	587
183	131	584
184	132	582
185	132	579
186	132	577
187	133	574
188	133	572
189	133	570
190	134	567
191	134	565
192	134	563
193	135	561
194	135	559
195	135	557
196	136	554
197	136	552
198	136	550
199	137	548
200	137	546
201	138	545
202	138	543
203	138	541
204	138	539
205	139	537
206	139	535
207	139	532
208	140	531
209	140	529
210	141	527
211	141	525
212	141	524
213	142	522
214	142	520
215	142	518
216	143	516
217	143	515
218	143	513
219	144	511
220	144	510
221	145	508
