iter	Passed	Remaining
0	57	57707
1	58	29084
2	58	19497
3	59	14692
4	59	11818
5	59	9898
6	60	8527
7	60	7505
8	60	6703
9	61	6064
10	61	5539
11	61	5099
12	62	4727
13	62	4410
14	62	4134
15	63	3911
16	64	3745
17	65	3564
18	65	3399
19	66	3251
20	66	3115
21	67	2987
22	67	2870
23	67	2763
24	68	2668
25	68	2575
26	69	2491
27	69	2412
28	69	2336
29	70	2266
30	70	2201
31	70	2140
32	71	2081
33	71	2026
34	71	1976
35	72	1928
36	72	1882
37	72	1838
38	72	1796
39	73	1757
40	73	1720
41	73	1683
42	74	1649
43	74	1619
44	74	1588
45	75	1560
46	75	1532
47	75	1507
48	76	1481
49	76	1457
50	76	1432
51	77	1411
52	77	1391
53	78	1371
54	78	1352
55	79	1335
56	79	1322
57	80	1305
58	80	1287
59	81	1272
60	85	1310
61	85	1293
62	85	1276
63	90	1323
64	108	1567
65	115	1633
66	115	1611
67	116	1591
68	116	1570
69	116	1550
70	117	1531
71	119	1546
72	120	1529
73	120	1512
74	121	1494
75	121	1478
76	121	1462
77	122	1446
78	122	1432
79	123	1416
80	123	1401
81	123	1386
82	124	1371
83	124	1358
84	125	1346
85	125	1335
86	126	1323
87	135	1399
88	135	1385
89	135	1372
90	136	1358
91	136	1350
92	137	1340
93	138	1331
94	140	1336
95	140	1327
96	141	1314
97	141	1305
98	142	1295
99	142	1286
100	143	1275
101	143	1263
102	143	1252
103	144	1241
104	144	1232
105	144	1222
106	145	1213
107	145	1203
108	145	1193
109	146	1182
110	146	1173
111	146	1163
112	147	1153
113	147	1144
114	147	1135
115	147	1126
116	148	1117
117	148	1108
118	148	1100
119	148	1091
120	149	1082
121	149	1074
122	149	1066
123	149	1058
124	150	1050
125	150	1043
126	150	1035
127	150	1027
128	151	1020
129	151	1013
130	151	1006
131	152	1000
132	152	993
133	152	987
134	153	980
135	153	974
136	153	968
137	154	962
138	154	955
139	154	949
140	154	943
141	154	936
142	155	930
143	155	924
144	156	920
145	156	915
146	157	911
147	157	905
148	157	900
149	157	895
150	158	889
151	158	884
152	158	879
153	159	874
154	159	869
155	159	863
156	159	858
157	160	854
158	160	850
159	161	845
160	161	839
161	161	835
162	161	830
163	161	825
164	162	820
165	162	816
166	162	812
167	163	807
168	163	803
169	163	799
170	163	794
171	164	790
172	164	786
173	164	782
174	164	777
175	165	773
176	165	769
177	165	765
178	165	761
179	166	757
180	166	753
181	166	750
182	167	746
183	167	743
184	167	739
185	168	735
186	168	732
187	168	728
188	168	725
189	169	721
190	169	718
191	170	716
192	170	713
193	170	709
194	171	706
195	171	703
196	171	700
197	172	697
198	172	693
199	172	690
200	172	687
201	173	684
202	173	681
203	173	677
204	173	674
205	174	671
206	174	669
207	174	666
208	175	663
209	175	660
210	175	657
211	176	654
212	176	651
213	176	648
