iter	Passed	Remaining
0	57	57469
1	57	28924
2	58	19371
3	58	14606
4	58	11733
5	59	9828
6	59	8456
7	59	7423
8	60	6634
9	60	5996
10	61	5491
11	61	5065
12	61	4700
13	62	4384
14	62	4118
15	63	3875
16	63	3667
17	63	3478
18	64	3308
19	64	3157
20	64	3019
21	65	2895
22	65	2780
23	65	2672
24	66	2575
25	66	2484
26	66	2400
27	66	2322
28	67	2250
29	67	2184
30	67	2123
31	68	2063
32	68	2009
33	68	1958
34	69	1908
35	69	1862
36	69	1817
37	70	1777
38	70	1738
39	71	1705
40	71	1672
41	72	1644
42	72	1616
43	72	1585
44	73	1554
45	73	1524
46	73	1498
47	74	1472
48	74	1448
49	74	1423
50	75	1400
51	75	1377
52	75	1356
53	76	1335
54	76	1315
55	76	1294
56	77	1276
57	77	1258
58	77	1240
59	78	1223
60	78	1206
61	78	1190
62	79	1175
63	79	1160
64	79	1146
65	80	1132
66	80	1119
67	80	1106
68	81	1095
69	81	1084
70	81	1071
71	82	1061
72	82	1051
73	83	1041
74	83	1030
75	83	1019
76	84	1009
77	84	999
78	84	989
79	85	980
80	85	971
81	85	961
82	86	950
83	86	941
84	86	932
85	86	924
86	87	916
87	87	909
88	88	900
89	88	893
90	88	885
91	89	878
92	89	872
93	89	864
94	90	857
95	90	850
96	90	844
97	90	837
98	91	830
99	91	824
100	91	817
101	92	811
102	92	804
103	92	798
104	93	792
105	93	787
106	93	781
107	93	776
108	94	770
109	94	765
110	94	760
111	95	755
112	95	750
113	95	745
114	96	740
115	96	736
116	96	730
117	97	726
118	97	721
119	97	716
120	98	712
121	98	707
122	98	703
123	98	699
124	99	695
125	99	691
126	99	686
127	100	683
128	100	679
129	100	675
130	101	671
131	101	667
132	101	664
133	102	660
134	102	656
135	102	652
136	103	649
137	103	645
138	103	642
139	103	638
140	104	635
141	104	630
142	104	627
143	104	623
144	105	620
145	105	617
146	105	614
147	106	611
148	106	608
149	106	605
150	107	602
151	107	599
152	107	596
153	108	594
154	108	591
155	108	588
156	109	586
157	109	583
158	109	580
159	110	577
160	110	574
161	110	572
162	110	569
163	111	566
164	111	564
165	111	562
166	112	559
167	112	557
168	112	555
169	113	553
170	113	550
171	113	548
172	114	545
173	114	543
174	114	540
175	115	538
176	115	536
177	115	534
178	116	532
179	116	529
180	116	527
181	116	525
182	117	524
183	117	521
184	117	519
185	118	517
186	118	515
187	118	513
188	119	511
189	119	509
190	119	507
191	120	505
192	120	503
193	120	501
194	120	499
195	121	497
196	121	495
197	121	493
198	122	491
199	122	490
200	122	488
201	123	487
202	123	485
203	123	483
204	124	481
205	124	480
206	124	478
207	125	476
208	125	475
209	125	473
210	126	472
211	126	470
212	126	469
213	127	467
214	127	466
215	128	464
216	128	463
217	128	461
218	129	460
219	129	458
220	129	457
221	130	455
222	130	454
223	130	453
224	131	451
225	131	449
226	131	448
227	132	446
228	132	445
229	132	444
230	132	442
231	133	441
232	133	439
233	134	438
234	134	437
235	134	435
236	134	434
237	135	433
238	135	431
239	135	430
240	136	428
241	136	427
242	136	426
243	137	425
244	137	424
245	137	422
246	138	421
247	138	419
248	138	418
249	139	417
250	139	416
251	139	414
252	140	413
253	140	412
254	140	411
255	140	409
256	141	408
257	141	407
258	141	406
259	142	405
260	142	404
261	143	403
262	143	401
263	143	400
264	144	399
265	144	398
266	144	397
267	145	396
268	145	395
269	145	394
270	146	393
271	146	392
272	146	390
273	147	389
274	147	388
275	147	387
276	148	386
277	148	385
278	148	384
279	148	383
280	149	381
281	149	380
282	149	379
283	150	378
284	150	377
285	150	376
286	151	375
287	151	374
288	151	373
289	152	372
290	152	371
291	152	370
292	152	368
293	153	368
294	153	367
295	153	365
296	154	365
297	154	364
298	155	363
299	155	362
300	155	361
301	156	360
302	156	359
303	156	358
304	156	357
305	157	356
306	157	355
307	158	354
308	158	354
309	158	353
310	159	352
311	159	351
312	159	350
313	159	349
314	160	348
315	160	347
316	161	346
317	161	345
318	161	345
319	161	344
320	162	343
321	162	342
322	162	341
323	163	340
324	163	339
325	163	338
326	164	337
327	164	337
328	164	336
329	165	335
330	165	334
331	165	333
332	166	332
333	166	331
334	166	330
335	166	329
336	167	329
337	167	328
338	167	327
339	168	326
340	168	325
341	168	325
342	169	324
343	169	323
344	169	322
345	170	321
346	170	320
347	170	320
348	171	319
349	171	318
350	171	317
351	172	316
352	172	316
353	172	315
354	173	314
355	173	313
356	173	313
357	174	312
358	174	311
359	174	310
360	174	309
361	175	309
362	175	308
363	176	307
364	176	306
365	176	306
366	176	305
367	177	304
368	177	303
369	177	302
370	178	302
371	178	301
372	178	300
373	179	299
374	179	299
375	179	298
376	180	297
377	180	296
378	180	296
379	181	295
380	181	294
381	181	293
382	181	293
383	182	292
384	182	291
385	182	290
386	183	290
387	183	289
388	183	288
389	184	287
390	184	287
391	184	286
392	185	285
393	185	285
394	185	284
395	186	283
396	186	283
397	186	282
398	187	281
399	187	280
400	187	280
401	188	279
402	188	279
403	188	278
404	189	277
405	189	277
406	189	276
407	190	275
408	190	275
409	190	274
410	191	273
411	191	273
412	191	272
413	192	271
414	192	271
415	192	270
416	193	269
417	193	269
418	193	268
419	194	268
420	194	267
421	194	266
422	195	266
423	195	265
424	195	264
425	196	264
426	196	263
427	196	262
428	196	262
429	197	261
430	197	260
431	197	260
432	198	259
433	198	258
434	198	258
435	198	257
436	199	256
437	199	256
438	199	255
439	200	254
440	200	254
441	200	253
442	201	252
443	201	252
444	201	251
445	202	251
446	202	250
447	202	249
448	203	249
449	203	248
450	203	248
451	204	247
452	204	247
453	204	246
454	205	245
455	205	245
456	205	244
457	206	243
458	206	243
459	206	242
460	207	242
461	207	241
462	207	241
463	208	240
464	208	239
465	208	239
466	209	238
467	209	238
468	209	237
469	210	236
470	210	236
471	210	235
472	211	235
473	211	234
474	211	234
475	212	233
476	212	232
477	212	232
478	213	231
479	213	231
480	213	230
481	214	230
482	214	229
483	214	228
484	214	228
485	215	227
486	215	227
487	216	226
488	216	226
489	216	225
490	216	224
491	217	224
492	217	223
493	217	223
494	218	222
495	218	222
496	218	221
497	219	220
498	219	220
499	219	219
500	220	219
501	220	218
502	220	218
503	221	217
504	221	217
505	221	216
506	222	216
507	222	215
508	222	214
509	223	214
510	223	213
511	223	213
512	224	212
513	224	212
514	224	211
515	224	210
516	225	210
517	225	209
518	225	209
519	226	208
520	226	208
521	226	207
522	227	207
523	227	206
524	227	205
525	228	205
526	228	204
527	228	204
528	228	203
529	229	203
530	229	202
531	229	202
532	230	201
533	230	201
534	230	200
535	231	200
536	231	199
537	231	199
538	232	198
539	232	197
540	232	197
541	232	196
542	233	196
543	233	195
544	233	195
545	234	194
546	234	194
547	234	193
548	234	193
549	235	192
550	235	191
551	235	191
552	236	190
553	236	190
554	236	189
555	237	189
556	237	188
557	237	188
558	238	188
559	238	187
560	238	186
561	239	186
562	239	186
563	239	185
564	240	184
565	241	184
566	241	184
567	241	183
568	242	183
569	242	182
570	242	182
571	243	181
572	243	181
573	243	180
574	243	180
575	244	179
576	244	179
577	244	178
578	245	178
579	245	177
580	245	177
581	246	176
582	246	176
583	246	175
584	247	175
585	247	174
586	247	174
587	248	173
588	248	173
589	248	172
590	249	172
591	249	171
592	249	171
593	250	170
594	250	170
595	250	169
596	250	169
597	251	168
598	251	168
599	251	167
600	252	167
601	252	167
602	252	166
603	253	166
604	253	165
605	253	164
606	254	164
607	254	164
608	254	163
609	255	163
610	255	162
611	255	162
612	256	161
613	256	161
614	256	160
615	257	160
616	257	159
617	257	159
618	258	158
619	258	158
620	258	157
621	258	157
622	259	156
623	259	156
624	259	155
625	260	155
626	260	154
627	260	154
628	260	153
629	261	153
630	261	152
631	261	152
632	262	152
633	262	151
634	262	151
635	263	150
636	263	150
637	263	149
638	264	149
639	264	148
640	264	148
641	264	147
642	265	147
643	265	146
644	265	146
645	266	145
646	266	145
647	266	145
648	267	144
649	267	144
650	267	143
651	268	143
652	268	142
653	268	142
654	269	141
655	269	141
656	269	140
657	269	140
658	270	139
659	270	139
660	270	138
661	271	138
662	271	137
663	271	137
664	272	137
665	272	136
666	272	136
667	273	135
668	273	135
669	273	134
670	273	134
671	274	133
672	274	133
673	274	132
674	275	132
675	275	132
676	275	131
677	276	131
678	276	130
679	276	130
680	277	129
681	277	129
682	277	128
683	278	128
684	278	128
685	278	127
686	279	127
687	279	126
688	279	126
689	279	125
690	280	125
691	280	124
692	280	124
693	281	123
694	281	123
695	281	123
696	282	122
697	282	122
698	282	121
699	283	121
700	283	120
701	283	120
702	284	120
703	284	119
704	284	119
705	285	118
706	285	118
707	285	117
708	286	117
709	286	116
710	286	116
711	287	116
712	287	115
713	287	115
714	288	114
715	288	114
716	288	113
717	288	113
718	289	113
719	289	112
720	289	112
721	290	111
722	290	111
723	290	110
724	291	110
725	291	109
726	291	109
727	291	109
728	292	108
729	292	108
730	292	107
731	293	107
732	293	106
733	293	106
734	294	106
735	294	105
736	294	105
737	295	104
738	295	104
739	295	103
740	296	103
741	296	103
742	296	102
743	297	102
744	297	101
745	297	101
746	298	100
747	298	100
748	298	100
749	298	99
750	299	99
751	299	98
752	299	98
753	300	97
754	300	97
755	300	97
756	301	96
757	301	96
758	301	95
759	301	95
760	302	94
761	302	94
762	302	94
763	303	93
764	303	93
765	304	92
766	304	92
767	304	92
768	304	91
769	305	91
770	305	90
771	305	90
772	306	89
773	306	89
774	306	89
775	307	88
776	307	88
777	307	87
778	308	87
779	308	87
780	308	86
781	309	86
782	309	85
783	309	85
784	310	84
785	310	84
786	310	84
787	311	83
788	311	83
789	311	82
790	311	82
791	312	82
792	312	81
793	312	81
794	313	80
795	313	80
796	313	79
797	314	79
798	314	79
799	315	78
800	315	78
801	315	78
802	316	77
803	316	77
804	317	76
805	317	76
806	317	75
807	317	75
808	318	75
809	318	74
810	318	74
811	318	73
812	319	73
813	319	73
814	319	72
815	320	72
816	320	71
817	320	71
818	321	70
819	321	70
820	321	70
821	322	69
822	322	69
823	322	68
824	323	68
825	323	68
826	323	67
827	324	67
828	324	66
829	324	66
830	325	66
831	325	65
832	325	65
833	326	64
834	326	64
835	326	64
836	326	63
837	327	63
838	327	62
839	327	62
840	328	62
841	328	61
842	328	61
843	329	60
844	329	60
845	329	60
846	330	59
847	330	59
848	330	58
849	331	58
850	331	58
851	331	57
852	332	57
853	332	56
854	332	56
855	332	56
856	333	55
857	333	55
858	333	54
859	334	54
860	334	53
861	334	53
862	335	53
863	335	52
864	335	52
865	335	51
866	336	51
867	336	51
868	336	50
869	337	50
870	337	49
871	337	49
872	337	49
873	338	48
874	338	48
875	338	47
876	339	47
877	339	47
878	339	46
879	340	46
880	340	46
881	340	45
882	341	45
883	341	44
884	342	44
885	342	44
886	342	43
887	343	43
888	343	42
889	343	42
890	344	42
891	344	41
892	344	41
893	345	40
894	345	40
895	345	40
896	345	39
897	346	39
898	346	38
899	346	38
900	346	38
901	347	37
902	347	37
903	347	36
904	348	36
905	348	36
906	348	35
907	349	35
908	349	34
909	349	34
910	350	34
911	350	33
912	350	33
913	351	33
914	351	32
915	351	32
916	352	31
917	352	31
918	352	31
919	353	30
920	353	30
921	353	29
922	353	29
923	354	29
924	354	28
925	354	28
926	355	27
927	355	27
928	355	27
929	356	26
930	356	26
931	356	26
932	357	25
933	357	25
934	357	24
935	358	24
936	358	24
937	358	23
938	358	23
939	359	22
940	359	22
941	359	22
942	360	21
943	360	21
944	360	21
945	361	20
946	361	20
947	361	19
948	362	19
949	362	19
950	362	18
951	363	18
952	363	17
953	363	17
954	364	17
955	364	16
956	364	16
957	365	16
958	365	15
959	365	15
960	366	14
961	366	14
962	366	14
963	367	13
964	367	13
965	367	12
966	367	12
967	368	12
968	368	11
969	368	11
970	369	11
971	369	10
972	369	10
973	370	9
974	370	9
975	370	9
976	371	8
977	371	8
978	372	7
979	372	7
980	372	7
981	372	6
982	373	6
983	373	6
984	373	5
985	374	5
986	374	4
987	374	4
988	375	4
989	375	3
990	375	3
991	376	3
992	376	2
993	376	2
994	377	1
995	377	1
996	377	1
997	378	0
998	378	0
999	378	0
